# x	y	u	v	flags	mask
9.4118e-01	5.9294e+01	0.0000e+00	-0.0000e+00	1.0000e+00	0.0000e+00
1.8824e+00	5.9294e+01	0.0000e+00	-0.0000e+00	1.0000e+00	0.0000e+00
2.8235e+00	5.9294e+01	0.0000e+00	-0.0000e+00	1.0000e+00	0.0000e+00
3.7647e+00	5.9294e+01	0.0000e+00	-0.0000e+00	0.0000e+00	0.0000e+00
4.7059e+00	5.9294e+01	0.0000e+00	-0.0000e+00	0.0000e+00	0.0000e+00
5.6471e+00	5.9294e+01	0.0000e+00	-0.0000e+00	0.0000e+00	0.0000e+00
6.5882e+00	5.9294e+01	-1.6051e+00	2.0628e-01	0.0000e+00	0.0000e+00
7.5294e+00	5.9294e+01	-7.7523e-01	1.0847e+00	0.0000e+00	0.0000e+00
8.4706e+00	5.9294e+01	1.2806e+00	2.8209e+00	0.0000e+00	0.0000e+00
9.4118e+00	5.9294e+01	1.1746e+00	5.9359e+00	0.0000e+00	0.0000e+00
1.0353e+01	5.9294e+01	-9.5056e-01	9.5257e+00	0.0000e+00	0.0000e+00
1.1294e+01	5.9294e+01	-2.8996e-01	4.8550e+00	0.0000e+00	0.0000e+00
1.2235e+01	5.9294e+01	9.1156e-01	6.7113e+00	0.0000e+00	0.0000e+00
1.3176e+01	5.9294e+01	9.8309e-01	2.7694e+00	0.0000e+00	0.0000e+00
1.4118e+01	5.9294e+01	-5.2998e-01	-8.0105e-01	0.0000e+00	0.0000e+00
1.5059e+01	5.9294e+01	9.3816e-02	7.0273e+00	0.0000e+00	0.0000e+00
1.6000e+01	5.9294e+01	1.6219e-01	6.0057e+00	0.0000e+00	0.0000e+00
1.6941e+01	5.9294e+01	2.0501e+00	1.1209e+01	0.0000e+00	0.0000e+00
1.7882e+01	5.9294e+01	3.2309e+00	1.0923e+01	0.0000e+00	0.0000e+00
1.8824e+01	5.9294e+01	-1.3635e+00	4.8966e+00	0.0000e+00	0.0000e+00
1.9765e+01	5.9294e+01	1.8946e+00	2.9023e+00	0.0000e+00	0.0000e+00
2.0706e+01	5.9294e+01	-4.0222e-01	-3.0013e+00	0.0000e+00	0.0000e+00
2.1647e+01	5.9294e+01	2.7558e+00	1.7806e+00	0.0000e+00	0.0000e+00
2.2588e+01	5.9294e+01	4.0746e+00	4.4054e+00	0.0000e+00	0.0000e+00
2.3529e+01	5.9294e+01	3.8926e+00	5.2903e+00	0.0000e+00	0.0000e+00
2.4471e+01	5.9294e+01	4.4022e+00	3.4513e+00	0.0000e+00	0.0000e+00
2.5412e+01	5.9294e+01	4.8949e-01	7.1062e-01	0.0000e+00	0.0000e+00
2.6353e+01	5.9294e+01	5.3625e+00	7.8488e+00	0.0000e+00	0.0000e+00
2.7294e+01	5.9294e+01	9.0996e+00	7.7645e+00	0.0000e+00	0.0000e+00
2.8235e+01	5.9294e+01	7.8617e-01	1.3402e+00	0.0000e+00	0.0000e+00
2.9176e+01	5.9294e+01	3.6626e-01	-3.0898e-01	0.0000e+00	0.0000e+00
3.0118e+01	5.9294e+01	8.1385e-01	2.7051e+00	0.0000e+00	0.0000e+00
3.1059e+01	5.9294e+01	0.0000e+00	-0.0000e+00	0.0000e+00	0.0000e+00
3.2000e+01	5.9294e+01	0.0000e+00	-0.0000e+00	1.0000e+00	0.0000e+00
3.2941e+01	5.9294e+01	0.0000e+00	-0.0000e+00	1.0000e+00	0.0000e+00
3.3882e+01	5.9294e+01	0.0000e+00	-0.0000e+00	1.0000e+00	0.0000e+00
3.4824e+01	5.9294e+01	0.0000e+00	-0.0000e+00	1.0000e+00	0.0000e+00
3.5765e+01	5.9294e+01	0.0000e+00	-0.0000e+00	1.0000e+00	0.0000e+00
3.6706e+01	5.9294e+01	0.0000e+00	-0.0000e+00	1.0000e+00	0.0000e+00
3.7647e+01	5.9294e+01	0.0000e+00	-0.0000e+00	1.0000e+00	0.0000e+00
3.8588e+01	5.9294e+01	0.0000e+00	-0.0000e+00	1.0000e+00	0.0000e+00
3.9529e+01	5.9294e+01	0.0000e+00	-0.0000e+00	1.0000e+00	0.0000e+00
4.0471e+01	5.9294e+01	0.0000e+00	-0.0000e+00	1.0000e+00	0.0000e+00
4.1412e+01	5.9294e+01	0.0000e+00	-0.0000e+00	1.0000e+00	0.0000e+00
