# x	y	u	v	flags	mask
1.6000e+01	1.6000e+01	-2.3270e+00	2.0149e+00	0.0000e+00	0.0000e+00
3.2000e+01	1.6000e+01	-2.3335e+00	2.0222e+00	0.0000e+00	0.0000e+00
4.8000e+01	1.6000e+01	-2.7331e+00	2.0177e+00	0.0000e+00	0.0000e+00
6.4000e+01	1.6000e+01	-2.8871e+00	2.0109e+00	0.0000e+00	0.0000e+00
8.0000e+01	1.6000e+01	-2.7950e+00	2.1096e+00	0.0000e+00	0.0000e+00
9.6000e+01	1.6000e+01	-2.7646e+00	2.0213e+00	0.0000e+00	0.0000e+00
1.1200e+02	1.6000e+01	-2.8332e+00	1.9302e+00	0.0000e+00	0.0000e+00
1.2800e+02	1.6000e+01	-2.9046e+00	1.9516e+00	0.0000e+00	0.0000e+00
1.4400e+02	1.6000e+01	-2.9176e+00	1.9926e+00	0.0000e+00	0.0000e+00
1.6000e+02	1.6000e+01	-2.9481e+00	1.9768e+00	0.0000e+00	0.0000e+00
1.7600e+02	1.6000e+01	-2.9278e+00	1.9441e+00	0.0000e+00	0.0000e+00
1.9200e+02	1.6000e+01	-2.9305e+00	1.9565e+00	0.0000e+00	0.0000e+00
2.0800e+02	1.6000e+01	-2.9105e+00	1.9590e+00	0.0000e+00	0.0000e+00
2.2400e+02	1.6000e+01	-2.9164e+00	1.9267e+00	0.0000e+00	0.0000e+00
2.4000e+02	1.6000e+01	-2.9235e+00	1.6791e+00	0.0000e+00	0.0000e+00
2.5600e+02	1.6000e+01	-2.9469e+00	1.6030e+00	0.0000e+00	0.0000e+00
2.7200e+02	1.6000e+01	-2.9111e+00	1.6699e+00	0.0000e+00	0.0000e+00
2.8800e+02	1.6000e+01	-3.0050e+00	1.6816e+00	0.0000e+00	0.0000e+00
3.0400e+02	1.6000e+01	-3.0899e+00	1.4003e+00	0.0000e+00	0.0000e+00
3.2000e+02	1.6000e+01	-2.9588e+00	1.3232e+00	0.0000e+00	0.0000e+00
3.3600e+02	1.6000e+01	-3.0889e+00	1.5613e+00	0.0000e+00	0.0000e+00
3.5200e+02	1.6000e+01	-2.9977e+00	1.5339e+00	0.0000e+00	0.0000e+00
3.6800e+02	1.6000e+01	-3.0555e+00	1.5495e+00	0.0000e+00	0.0000e+00
3.8400e+02	1.6000e+01	-2.9990e+00	1.5924e+00	0.0000e+00	0.0000e+00
4.0000e+02	1.6000e+01	-3.2595e+00	1.4287e+00	0.0000e+00	0.0000e+00
4.1600e+02	1.6000e+01	-3.2025e+00	1.0983e+00	0.0000e+00	0.0000e+00
4.3200e+02	1.6000e+01	-3.0682e+00	9.7253e-01	0.0000e+00	0.0000e+00
4.4800e+02	1.6000e+01	-3.1586e+00	8.7602e-01	0.0000e+00	0.0000e+00
4.6400e+02	1.6000e+01	-3.4255e+00	8.4730e-01	0.0000e+00	0.0000e+00
4.8000e+02	1.6000e+01	-3.9000e+00	4.5553e-01	0.0000e+00	0.0000e+00
4.9600e+02	1.6000e+01	-3.8348e+00	4.3550e-01	0.0000e+00	0.0000e+00
5.1200e+02	1.6000e+01	-3.6668e+00	4.2388e-01	0.0000e+00	0.0000e+00
5.2800e+02	1.6000e+01	-3.7416e+00	1.9019e-01	0.0000e+00	0.0000e+00
5.4400e+02	1.6000e+01	-3.7660e+00	4.1913e-02	0.0000e+00	0.0000e+00
5.6000e+02	1.6000e+01	-3.8714e+00	4.0896e-02	0.0000e+00	0.0000e+00
5.7600e+02	1.6000e+01	-3.8516e+00	-1.2903e-02	0.0000e+00	0.0000e+00
5.9200e+02	1.6000e+01	-3.7963e+00	-1.1033e-01	0.0000e+00	0.0000e+00
6.0800e+02	1.6000e+01	-3.8150e+00	-1.9529e-01	0.0000e+00	0.0000e+00
6.2400e+02	1.6000e+01	-3.9005e+00	-3.1012e-01	0.0000e+00	0.0000e+00
6.4000e+02	1.6000e+01	-3.8903e+00	-6.6851e-01	0.0000e+00	0.0000e+00
6.5600e+02	1.6000e+01	-3.9135e+00	-7.9499e-01	0.0000e+00	0.0000e+00
6.7200e+02	1.6000e+01	-3.8276e+00	-8.2163e-01	0.0000e+00	0.0000e+00
6.8800e+02	1.6000e+01	-3.7220e+00	-9.6315e-01	0.0000e+00	0.0000e+00
7.0400e+02	1.6000e+01	-3.5856e+00	-1.0104e+00	0.0000e+00	0.0000e+00
7.2000e+02	1.6000e+01	-3.6258e+00	-1.0845e+00	0.0000e+00	0.0000e+00
7.3600e+02	1.6000e+01	-3.5813e+00	-1.0506e+00	0.0000e+00	0.0000e+00
7.5200e+02	1.6000e+01	-3.3373e+00	-9.1578e-01	0.0000e+00	0.0000e+00
7.6800e+02	1.6000e+01	-3.4056e+00	-1.0941e+00	0.0000e+00	0.0000e+00
7.8400e+02	1.6000e+01	-3.1661e+00	-1.0926e+00	0.0000e+00	0.0000e+00
8.0000e+02	1.6000e+01	-3.0516e+00	-1.0270e+00	0.0000e+00	0.0000e+00
