# x	y	u	v	flags	mask
1.6000e+01	1.6000e+01	9.4856e-01	-7.9113e-01	0.0000e+00	0.0000e+00
3.2000e+01	1.6000e+01	9.5931e-01	-7.7001e-01	0.0000e+00	0.0000e+00
4.8000e+01	1.6000e+01	1.0341e+00	-7.5446e-01	0.0000e+00	0.0000e+00
6.4000e+01	1.6000e+01	1.0779e+00	-7.1706e-01	0.0000e+00	0.0000e+00
8.0000e+01	1.6000e+01	1.1316e+00	-6.2021e-01	0.0000e+00	0.0000e+00
9.6000e+01	1.6000e+01	1.2774e+00	-5.3473e-01	0.0000e+00	0.0000e+00
1.1200e+02	1.6000e+01	1.2502e+00	-4.5673e-01	0.0000e+00	0.0000e+00
1.2800e+02	1.6000e+01	1.3066e+00	-3.7180e-01	0.0000e+00	0.0000e+00
1.4400e+02	1.6000e+01	1.3495e+00	-3.0754e-01	0.0000e+00	0.0000e+00
1.6000e+02	1.6000e+01	1.3156e+00	-2.0845e-01	0.0000e+00	0.0000e+00
1.7600e+02	1.6000e+01	1.3450e+00	-8.0323e-02	0.0000e+00	0.0000e+00
1.9200e+02	1.6000e+01	1.3074e+00	-1.1960e-02	0.0000e+00	0.0000e+00
2.0800e+02	1.6000e+01	1.3120e+00	6.8445e-02	0.0000e+00	0.0000e+00
2.2400e+02	1.6000e+01	1.3086e+00	1.7913e-01	0.0000e+00	0.0000e+00
2.4000e+02	1.6000e+01	1.2036e+00	2.4063e-01	0.0000e+00	0.0000e+00
2.5600e+02	1.6000e+01	1.1140e+00	3.2414e-01	0.0000e+00	0.0000e+00
2.7200e+02	1.6000e+01	1.0343e+00	3.8688e-01	0.0000e+00	0.0000e+00
2.8800e+02	1.6000e+01	1.0155e+00	4.9067e-01	0.0000e+00	0.0000e+00
3.0400e+02	1.6000e+01	9.8139e-01	5.8194e-01	0.0000e+00	0.0000e+00
3.2000e+02	1.6000e+01	8.7841e-01	5.8135e-01	0.0000e+00	0.0000e+00
3.3600e+02	1.6000e+01	8.8384e-01	6.4233e-01	0.0000e+00	0.0000e+00
3.5200e+02	1.6000e+01	7.8892e-01	7.1116e-01	0.0000e+00	0.0000e+00
3.6800e+02	1.6000e+01	7.4871e-01	7.1035e-01	0.0000e+00	0.0000e+00
3.8400e+02	1.6000e+01	6.7922e-01	6.7143e-01	0.0000e+00	0.0000e+00
4.0000e+02	1.6000e+01	6.3482e-01	7.2530e-01	0.0000e+00	0.0000e+00
4.1600e+02	1.6000e+01	5.6790e-01	6.9057e-01	0.0000e+00	0.0000e+00
4.3200e+02	1.6000e+01	4.6946e-01	7.3544e-01	0.0000e+00	0.0000e+00
4.4800e+02	1.6000e+01	4.6757e-01	7.0202e-01	0.0000e+00	0.0000e+00
4.6400e+02	1.6000e+01	4.2393e-01	7.0328e-01	0.0000e+00	0.0000e+00
4.8000e+02	1.6000e+01	3.3898e-01	7.1881e-01	0.0000e+00	0.0000e+00
4.9600e+02	1.6000e+01	3.4824e-01	7.0913e-01	0.0000e+00	0.0000e+00
1.6000e+01	3.2000e+01	9.5368e-01	-8.2585e-01	0.0000e+00	0.0000e+00
3.2000e+01	3.2000e+01	9.8703e-01	-8.1048e-01	0.0000e+00	0.0000e+00
4.8000e+01	3.2000e+01	1.0401e+00	-8.0561e-01	0.0000e+00	0.0000e+00
6.4000e+01	3.2000e+01	1.1014e+00	-7.9733e-01	0.0000e+00	0.0000e+00
