# x	y	u	v	flags	mask
9.4118e-01	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
2.8235e+00	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
4.7059e+00	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
6.5882e+00	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
8.4706e+00	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
1.0353e+01	5.9294e+01	-2.6715e-09	-8.2549e+02	0.0000e+00	0.0000e+00
1.2235e+01	5.9294e+01	2.8230e+00	2.1107e+00	0.0000e+00	0.0000e+00
1.4118e+01	5.9294e+01	3.3135e+00	3.5980e-01	0.0000e+00	0.0000e+00
1.6000e+01	5.9294e+01	3.8556e+00	-1.2410e+00	0.0000e+00	0.0000e+00
1.7882e+01	5.9294e+01	1.4217e+00	-9.9088e-01	0.0000e+00	0.0000e+00
1.9765e+01	5.9294e+01	1.6261e+00	3.9256e+00	0.0000e+00	0.0000e+00
2.1647e+01	5.9294e+01	1.8578e+00	1.1556e+01	0.0000e+00	0.0000e+00
2.3529e+01	5.9294e+01	6.4820e+00	1.6988e+00	0.0000e+00	0.0000e+00
2.5412e+01	5.9294e+01	6.1401e+00	2.4670e+00	0.0000e+00	0.0000e+00
2.7294e+01	5.9294e+01	4.9531e+00	5.0981e+00	0.0000e+00	0.0000e+00
2.9176e+01	5.9294e+01	2.5246e+00	6.9655e+00	0.0000e+00	0.0000e+00
3.1059e+01	5.9294e+01	-9.5306e-01	5.0269e+00	0.0000e+00	0.0000e+00
3.2941e+01	5.9294e+01	7.9377e+00	6.0173e+00	0.0000e+00	0.0000e+00
3.4824e+01	5.9294e+01	4.2690e-02	2.4755e+00	0.0000e+00	0.0000e+00
3.6706e+01	5.9294e+01	1.4442e+00	7.8380e+00	0.0000e+00	0.0000e+00
3.8588e+01	5.9294e+01	-2.3275e+00	6.6218e+00	0.0000e+00	0.0000e+00
4.0471e+01	5.9294e+01	5.7044e-01	8.2440e+00	0.0000e+00	0.0000e+00
4.2353e+01	5.9294e+01	8.5530e-01	1.2713e+01	0.0000e+00	0.0000e+00
4.4235e+01	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
4.6118e+01	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
4.8000e+01	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
4.9882e+01	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
5.1765e+01	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
5.3647e+01	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
5.5529e+01	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
5.7412e+01	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
5.9294e+01	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
6.1176e+01	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
6.3059e+01	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
6.4941e+01	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
6.6824e+01	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
6.8706e+01	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
7.0588e+01	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
7.2471e+01	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
7.4353e+01	5.9294e+01	nan	nan	1.0000e+00	0.0000e+00
9.4118e-01	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
2.8235e+00	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
4.7059e+00	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
